"","eval_avg.MAE","eval_avg.MSE","eval_avg.RMSE","eval_avg.R_squared","eval_avg.MAPE","X0.735044235387399"
"CART",26623.3154957435,1699013293.85351,41219.0889498241,0.288849456640468,4823.16702763614,0.735044235387399
"RF",25181.3409609787,1611450050.10259,40138.0507807491,0.334565478882958,4366.02279682695,0.735044235387399
"XGB",24979.9925673262,1599486520.63072,39990.7863398069,0.339340993413819,4305.89380731949,0.735044235387399
"SVM",25668.4275860705,1857890775.70094,43099.6547725326,0.232509689362052,3901.32387107878,0.735044235387399
